X,Y,medidor,circuito,anom_s_lec,anom_c_lec,comentario,lat y,lon x,icon_url
-100.20248,25.72031,k62c33,LAF04145,NA,M-Modernizacion,medidor interior,25.720310000000001,-100.202479999999994,./0.png
-100.1948,25.71553,k65c24,LAF04145,NA,NA,ok,25.715530000000001,-100.194800000000001,./0.png
-100.19585,25.71471,k7k853,LAF04145,NA,C5-SinSello,ok,25.714710000000000,-100.195849999999993,./0.png
-100.19418,25.7153,k80c31,LAF04145,NA,C5-SinSello,ok,25.715299999999999,-100.194180000000003,./0.png
-100.20081,25.72307,k8963t,LAF04145,NA,C5-SinSello,na,25.723070000000000,-100.200810000000004,./0.png
-100.19604,25.7199,k9171y,LAF04145,NA,C5-SinSello,na,25.719899999999999,-100.196039999999996,./0.png
-100.19737,25.71651,k9275t,LAF04145,NA,NA,ok,25.716510000000000,-100.197370000000006,./0.png
-100.19994,25.72405,k9k855,LAF04145,NA,C5-SinSello,na,25.724049999999998,-100.199939999999998,./0.png
-100.19355,25.72504,ke7451,LAF04145,NA,C5-SinSello,na,25.725040000000000,-100.193550000000002,./0.png
-100.18688,25.72149,kl2176,LAF04145,NA,NA,na,25.721489999999999,-100.186880000000002,./0.png
-100.1976,25.72386,kn2286,LAF04145,NA,NA,ok,25.723859999999998,-100.197599999999994,./0.png
-100.19571,25.71525,l0080a,LAF04145,NA,NA,ok,25.715250000000001,-100.195710000000005,./0.png
-100.19564,25.71543,l025d4,LAF04145,NA,NA,ok,25.715430000000001,-100.195639999999997,./0.png
-100.19587,25.7215,l0739a,LAF04145,NA,NA,na,25.721499999999999,-100.195869999999999,./0.png
-100.19113,25.72174,l10b69,LAF04145,NA,C5-SinSello,na,25.721740000000000,-100.191130000000001,./0.png
-100.20312,25.72032,l112g1,LAF04145,NA,C5-SinSello,cm,25.720320000000001,-100.203119999999998,./0.png
-100.19397,25.71466,l1468a,LAF04145,NA,C5-SinSello,ok,25.714659999999999,-100.193969999999993,./0.png
-100.20386,25.71969,l220c8,LAF04145,NA,NA,ok,25.719690000000000,-100.203860000000006,./0.png
-100.20855,25.72313,l221h4,LAF04145,NA,C5-SinSello,cortado de poste,25.723130000000001,-100.208550000000002,./0.png
-100.1959,25.72838,l485b5,LAF04145,NA,C5-SinSello,na,25.728380000000001,-100.195899999999995,./0.png
-100.19026,25.72238,l69b45,LAF04145,NA,C5-SinSello,na,25.722380000000001,-100.190259999999995,./0.png
-100.1901,25.72267,l775a3,LAF04145,NA,NA,na,25.722670000000001,-100.190100000000001,./0.png
-100.1908,25.72198,l995c7,LAF04145,NA,NA,na,25.721979999999999,-100.190799999999996,./0.png
-100.19593,25.73032,m000u0,LAF04145,NA,NA,na,25.730319999999999,-100.195930000000004,./0.png
-100.19286,25.72139,m006md,LAF04145,NA,NA,na,25.721390000000000,-100.192859999999996,./0.png
-100.19613,25.71871,m014me,LAF04145,NA,NA,ok cm reja de acero,25.718710000000002,-100.196129999999997,./0.png
-100.19639,25.73056,m020u0,LAF04145,NA,NA,na,25.730560000000001,-100.196389999999994,./0.png
-100.19618,25.72999,m025u8,LAF04145,NA,NA,na,25.729990000000001,-100.196179999999998,./0.png
-100.19576,25.72771,m039u5,LAF04145,NA,NA,na,25.727709999999998,-100.195760000000007,./0.png
